"Statistic","Month","Type of Residential Property","UNIT","VALUE"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","Dublin - all residential properties","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","Dublin - houses","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","Dublin - apartments","%","1.1"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","Dublin City - houses","%","1.1"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","Dun Laoghaire-Rathdown - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","Fingal - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","South Dublin - houses","%","2.6"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","National excluding Dublin - all residential properties","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","National excluding Dublin - houses","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","National excluding Dublin - apartments","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","Border - houses","%","7.2"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","Midland - houses","%","3.4"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","West - houses","%","2.8"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","Mid-East - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","Mid-West - houses","%","2.7"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","South-East - houses","%","3.6"
"Percentage Change over 3 months for Residential Property Price Index","2018M10","South-West - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","National - all residential properties","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","National - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","National - apartments","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","Dublin - all residential properties","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","Dublin - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","Dublin - apartments","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","Dublin City - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","Dun Laoghaire-Rathdown - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","Fingal - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","South Dublin - houses","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","National excluding Dublin - all residential properties","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","National excluding Dublin - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","National excluding Dublin - apartments","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","Border - houses","%","5"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","Midland - houses","%","3"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","West - houses","%","2.3"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","Mid-East - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","Mid-West - houses","%","2.7"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","South-East - houses","%","2.8"
"Percentage Change over 3 months for Residential Property Price Index","2018M11","South-West - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","National - all residential properties","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","National - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","National - apartments","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","Dublin - all residential properties","%","-1.2"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","Dublin - houses","%","-1.1"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","Dublin - apartments","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","Dublin City - houses","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","Dun Laoghaire-Rathdown - houses","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","Fingal - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","South Dublin - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","National excluding Dublin - all residential properties","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","National excluding Dublin - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","National excluding Dublin - apartments","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","Border - houses","%","4.7"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","Midland - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","West - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","Mid-East - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","Mid-West - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","South-East - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2018M12","South-West - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","National - all residential properties","%","-1.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","National - houses","%","-1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","National - apartments","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","Dublin - all residential properties","%","-2"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","Dublin - houses","%","-2.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","Dublin - apartments","%","-1.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","Dublin City - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","Dun Laoghaire-Rathdown - houses","%","-2.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","Fingal - houses","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","South Dublin - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","National excluding Dublin - all residential properties","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","National excluding Dublin - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","National excluding Dublin - apartments","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","Border - houses","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","Midland - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","West - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","Mid-East - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","Mid-West - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","South-East - houses","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M01","South-West - houses","%","1.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","National - all residential properties","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","National - houses","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","National - apartments","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","Dublin - all residential properties","%","-1.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","Dublin - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","Dublin - apartments","%","-2.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","Dublin City - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","Dun Laoghaire-Rathdown - houses","%","-3"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","Fingal - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","South Dublin - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","National excluding Dublin - all residential properties","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","National excluding Dublin - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","National excluding Dublin - apartments","%","-1.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","Border - houses","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","Midland - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","West - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","Mid-East - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","Mid-West - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","South-East - houses","%","3"
"Percentage Change over 3 months for Residential Property Price Index","2019M02","South-West - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","National - all residential properties","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","National - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","National - apartments","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","Dublin - all residential properties","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","Dublin - houses","%","-1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","Dublin - apartments","%","-2.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","Dublin City - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","Dun Laoghaire-Rathdown - houses","%","-3.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","Fingal - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","South Dublin - houses","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","National excluding Dublin - all residential properties","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","National excluding Dublin - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","National excluding Dublin - apartments","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","Border - houses","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","Midland - houses","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","West - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","Mid-East - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","Mid-West - houses","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","South-East - houses","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M03","South-West - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","National - all residential properties","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","National - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","National - apartments","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","Dublin - all residential properties","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","Dublin - houses","%","-1.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","Dublin - apartments","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","Dublin City - houses","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","Dun Laoghaire-Rathdown - houses","%","-3.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","Fingal - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","South Dublin - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","National excluding Dublin - all residential properties","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","National excluding Dublin - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","National excluding Dublin - apartments","%","1.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","Border - houses","%","3.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","Midland - houses","%","2.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","West - houses","%","3.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","Mid-East - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","Mid-West - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","South-East - houses","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M04","South-West - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","National - all residential properties","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","National - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","National - apartments","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","Dublin - all residential properties","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","Dublin - houses","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","Dublin - apartments","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","Dublin City - houses","%","-1.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","Dun Laoghaire-Rathdown - houses","%","-3.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","Fingal - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","South Dublin - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","National excluding Dublin - all residential properties","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","National excluding Dublin - houses","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","National excluding Dublin - apartments","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","Border - houses","%","4.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","Midland - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","West - houses","%","3.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","Mid-East - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","Mid-West - houses","%","-1.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","South-East - houses","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M05","South-West - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","National - all residential properties","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","National - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","National - apartments","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","Dublin - all residential properties","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","Dublin - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","Dublin - apartments","%","1.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","Dublin City - houses","%","-1.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","Dun Laoghaire-Rathdown - houses","%","-2.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","Fingal - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","South Dublin - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","National excluding Dublin - all residential properties","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","National excluding Dublin - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","National excluding Dublin - apartments","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","Border - houses","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","Midland - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","West - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","Mid-East - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","Mid-West - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","South-East - houses","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M06","South-West - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","National - all residential properties","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","National - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","National - apartments","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","Dublin - all residential properties","%","1.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","Dublin - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","Dublin - apartments","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","Dublin City - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","Dun Laoghaire-Rathdown - houses","%","-2.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","Fingal - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","South Dublin - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","National excluding Dublin - all residential properties","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","National excluding Dublin - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","National excluding Dublin - apartments","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","Border - houses","%","2.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","Midland - houses","%","-1.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","West - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","Mid-East - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","Mid-West - houses","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","South-East - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M07","South-West - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","National - all residential properties","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","National - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","National - apartments","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","Dublin - all residential properties","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","Dublin - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","Dublin - apartments","%","2.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","Dublin City - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","Dun Laoghaire-Rathdown - houses","%","-1.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","Fingal - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","South Dublin - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","National excluding Dublin - all residential properties","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","National excluding Dublin - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","National excluding Dublin - apartments","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","Border - houses","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","Midland - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","West - houses","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","Mid-East - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","Mid-West - houses","%","4.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","South-East - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M08","South-West - houses","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","National - all residential properties","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","National - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","National - apartments","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","Dublin - all residential properties","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","Dublin - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","Dublin - apartments","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","Dublin City - houses","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","Dun Laoghaire-Rathdown - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","Fingal - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","South Dublin - houses","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","National excluding Dublin - all residential properties","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","National excluding Dublin - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","National excluding Dublin - apartments","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","Border - houses","%","2.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","Midland - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","West - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","Mid-East - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","Mid-West - houses","%","5.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","South-East - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M09","South-West - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","National - all residential properties","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","National - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","National - apartments","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","Dublin - all residential properties","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","Dublin - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","Dublin - apartments","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","Dublin City - houses","%","1.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","Dun Laoghaire-Rathdown - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","Fingal - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","South Dublin - houses","%","-1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","National excluding Dublin - all residential properties","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","National excluding Dublin - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","National excluding Dublin - apartments","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","Border - houses","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","Midland - houses","%","2.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","West - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","Mid-East - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","Mid-West - houses","%","3.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","South-East - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M10","South-West - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","National - all residential properties","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","National - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","National - apartments","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","Dublin - all residential properties","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","Dublin - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","Dublin - apartments","%","-2.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","Dublin City - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","Dun Laoghaire-Rathdown - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","Fingal - houses","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","South Dublin - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","National excluding Dublin - all residential properties","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","National excluding Dublin - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","National excluding Dublin - apartments","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","Border - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","Midland - houses","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","West - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","Mid-East - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","Mid-West - houses","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","South-East - houses","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M11","South-West - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","National - all residential properties","%","-1.2"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","National - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","National - apartments","%","-3"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","Dublin - all residential properties","%","-1.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","Dublin - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","Dublin - apartments","%","-5.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","Dublin City - houses","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","Dun Laoghaire-Rathdown - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","Fingal - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","South Dublin - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","National excluding Dublin - all residential properties","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","National excluding Dublin - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","National excluding Dublin - apartments","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","Border - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","Midland - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","West - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","Mid-East - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","Mid-West - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","South-East - houses","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2019M12","South-West - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","National - all residential properties","%","-1.2"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","National - houses","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","National - apartments","%","-1.9"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","Dublin - all residential properties","%","-1.1"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","Dublin - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","Dublin - apartments","%","-2.9"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","Dublin City - houses","%","-1.2"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","Dun Laoghaire-Rathdown - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","Fingal - houses","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","South Dublin - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","National excluding Dublin - all residential properties","%","-1.2"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","National excluding Dublin - houses","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","National excluding Dublin - apartments","%","-3.4"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","Border - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","Midland - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","West - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","Mid-East - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020M01","Mid-West - houses","%","-2.1"
