"Statistic","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2006M05","National - houses","Base 2015=100","143.4"
"Residential Property Price Index","2006M05","National - apartments","Base 2015=100","175"
"Residential Property Price Index","2006M05","Dublin - all residential properties","Base 2015=100","145"
"Residential Property Price Index","2006M05","Dublin - houses","Base 2015=100","139.1"
"Residential Property Price Index","2006M05","Dublin - apartments","Base 2015=100","167.5"
"Residential Property Price Index","2006M05","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M05","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M05","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M05","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M05","National excluding Dublin - all residential properties","Base 2015=100","164.6"
"Residential Property Price Index","2006M05","National excluding Dublin - houses","Base 2015=100","161.7"
"Residential Property Price Index","2006M05","National excluding Dublin - apartments","Base 2015=100","219.3"
"Residential Property Price Index","2006M05","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M05","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M05","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M05","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M05","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M05","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M05","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M06","National - all residential properties","Base 2015=100","150.3"
"Residential Property Price Index","2006M06","National - houses","Base 2015=100","146.2"
"Residential Property Price Index","2006M06","National - apartments","Base 2015=100","176.9"
"Residential Property Price Index","2006M06","Dublin - all residential properties","Base 2015=100","148.7"
"Residential Property Price Index","2006M06","Dublin - houses","Base 2015=100","143.1"
"Residential Property Price Index","2006M06","Dublin - apartments","Base 2015=100","169.8"
"Residential Property Price Index","2006M06","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M06","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M06","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M06","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M06","National excluding Dublin - all residential properties","Base 2015=100","166.9"
"Residential Property Price Index","2006M06","National excluding Dublin - houses","Base 2015=100","164"
"Residential Property Price Index","2006M06","National excluding Dublin - apartments","Base 2015=100","220.2"
"Residential Property Price Index","2006M06","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M06","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M06","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M06","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M06","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M06","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M06","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M07","National - all residential properties","Base 2015=100","153.7"
"Residential Property Price Index","2006M07","National - houses","Base 2015=100","149.7"
"Residential Property Price Index","2006M07","National - apartments","Base 2015=100","179.1"
"Residential Property Price Index","2006M07","Dublin - all residential properties","Base 2015=100","153.4"
"Residential Property Price Index","2006M07","Dublin - houses","Base 2015=100","148.6"
"Residential Property Price Index","2006M07","Dublin - apartments","Base 2015=100","172"
"Residential Property Price Index","2006M07","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M07","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M07","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M07","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M07","National excluding Dublin - all residential properties","Base 2015=100","169.7"
"Residential Property Price Index","2006M07","National excluding Dublin - houses","Base 2015=100","166.8"
"Residential Property Price Index","2006M07","National excluding Dublin - apartments","Base 2015=100","223.2"
"Residential Property Price Index","2006M07","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M07","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M07","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M07","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M07","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M07","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M07","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M08","National - all residential properties","Base 2015=100","157.1"
